filename,Project name,Value,Exact Excerpt,Explanation
,Calderwood Development,"Monthly minimum flows (Jan: 45�55 cfs, Feb: 40�60 cfs, Mar: 35�65 cfs, Apr: 20�60 cfs, May: 30�50 cfs, Jun: 25�35 cfs, Jul: 30 cfs, Aug: 20�30 cfs, Sep: 25 cfs, Oct: 25�35 cfs, Nov: 25�45 cfs, Dec: 40 cfs), depending on scenario.","""Table 1. Calderwood Bypass Instream Flows� [gives monthly minimum flows for three scenarios A/B/C, e.g. January: 45, 50, 55 cfs].""","Calderwood Bypass reach must receive monthly minimum flows, with scenario values depending on environmental planning agreements. Flows must be within +50/?5 cfs of target, except during certain operational emergencies."
P10228_License_19910621.pdf,Cannelton Project,"4,000 cfs required (or inflow, if less)","�Article 404. The licensee shall, to the extent possible within the constraints established by the Corps, discharge from the project dam a continuous minimum flow of 4,000 cubic feet per second, or inflow, whichever is less, for the protection of aquatic resources in the Ohio River between the project dam and the project tailrace. This flow may be temporarily modified if required by operating emergencies��","The license requires a continuous minimum flow release of 4,000 cfs (or inflow, if less) to the Ohio River below the project dam for aquatic protection, except during operating emergencies or with agency agreement. This is stated in Article 404."
P2232_License_20151125.pdf,Catawba-Wateree Hydroelectric Project (all 11 developments),"Mandated minimum continuous flow (by development):- Bridgewater: 95�145 cfs- Catawba Dam: 50 or 75 cfs (seasonal)- Rhodhiss: ~40 cfs- Oxford: 150 cfs- Lookout Shoals: 80 cfs- Cowans Ford: ~80 cfs- Mountain Island: ~80 cfs- Wylie: 1,100 cfs- Fishing Creek: leakage (no new mandate)- Great Falls Diversion Dam Long Bypass: 450�850 cfs (seasonal)- Great Falls Headworks Short Bypass: 100 cfs- Rocky Creek-Cedar Creek: leakage (no new mandate)- Wateree: 930�2,700 cfs (seasonal).Most instantaneous minimum flows have been replaced by continuous minimum flows at higher levels; some locations also have daily average requirements and spring spawning periods.","""Duke Energy proposes to implement a Flow and Water Quality Implementation Plan... Following installation of the minimum flow structures, Duke Energy proposes to provide the minimum flows described in section 4.1.1 of the Agreement and the minimum flow article of section A-2.0 in Appendix E of this order.""""Bridgewater... minimum continuous release would increase from 25 cfs to between 95 and 145 cfs, depending on the month. At Catawba Dam, the minimum continuous release would increase from 0 cfs to either 50 cfs or 75 cfs depending on the month...""(See full minimum flows by development in license, Agreement Appendix E.)","All listed minimum flows are legally mandated by the FERC license, as described in the Agreement (Appendix E, section 4.1.1).- Most developments are required to provide a continuous minimum flow (not just daily average), with levels varying by month/season.- Flows are measured at each dam or development, and, where specified, must be released continuously, not just as a daily average.- During drought or maintenance emergencies, flows may be temporarily reduced under the Low Inflow Protocol (LIP) or Maintenance and Emergency Protocol (MEP); such reductions require documentation and advisory group involvement.- Voluntary and recreational flows (e.g., for fish spawning or recreation releases) are in addition to minimums and not required at all sites.- Where �leakage� is specified, minimum flows are not set by the license but occur as a result of physical conditions.- No routine zero-flow periods are allowed; exceptions only for emergency protocols.- Original units: cfs (cubic feet per second); all conversions and seasonal variations are in the license/Agreement tables.- See license Appendix E and sections 4.1.1 and A-2.0 for full breakdown and monthly schedule."
,Cheoah Development,"No fixed minimum; managed under aquatic protocols and ramping rates, plus high flow events (see schedule in license).","""�establish flow protocol for low-flow periods� release high flow events as scheduled� ramping rates to minimize ecological impact�""","No specific year-round minimum flow, but high flow events and ramping/low-flow protocols are mandated for ecological protection."
P620_License_20060208.pdf,Chignik Hydroelectric Project,Not mentioned,"""One of the recommendations, to provide a 10-cfs minimum flow to the bypassed reach for a period of five years, was subsequently withdrawn... the EA�s conclusion that a 10-cfs minimum flow was not required upon license issuance."" (Page 7, Section 25, 26, 28)","The license does not mandate any specific minimum flow release for environmental, municipal, or other uses. All such requirements were withdrawn or not adopted at the time of license issuance."
,Chilhowee Development,No fixed minimum; ramping protocols and monitoring required.,"""�ramping rates and tailwater monitoring required�""",Ramping protocols are the key requirement; there is no set minimum cfs release.
P2724_License_20011221.pdf,City of Hamilton Project (OH),"400 cfs (April 1�June 15), 250 cfs (June 16�March 31), or inflow if less","""Article 403 requires the City to continue to release, from the two project dams combined, a minimum flow of 400 cfs, or inflow if less, from April 1 through June 15 and 250 cfs, or inflow if less, the remainder of the year.""",This license explicitly mandates seasonal minimum flows for the bypassed reach for aquatic habitat.
P2170_License_20070824.pdf,Cooper Lake Hydroelectric Project,"10�30 cfs required (variable, see excerpt)","�The 10,256 acre-feet of flow released to Cooper Creek would be released at a year-round minimum rate from 10 to 30 cfs, peaking at up to 30 cfs from June through October. To accommodate changes in water availability and environmental and biological conditions in Cooper Creek, specific releases from Cooper Lake would be defined annually by an Interagency Committee and are expected to range from 10 to 25 cfs depending on the month, as defined in the default flow release schedule included in the Agreement.�","The license mandates a year-round minimum flow release to Cooper Creek from Cooper Lake, ranging from 10 to 30 cfs. The exact amount each year and month is determined by an interagency committee, but the default minimum is 10 cfs and peaks at 30 cfs during June�October."
P2517_License_20040512.pdf,Dam No. 5 Hydro Station Project,"Minimum continuous veil flow of at least 1 inch over the dam at all times.From June 15 to September 15, if mean Potomac River flow at the Hancock gage is <600 cfs, a 2-inch veil over the dam is required.No generation allowed if river flow <300 cfs.","�The licensee shall provide, at a minimum, a one-inch veil of water flowing over the dam at the Dam No. 5 Hydro Station Project at all times� Project operations shall be discontinued when water passing over Dam No. 5 drops below the one-inch veil requirement. During the period June 15 to September 15, whenever mean river flows in the Potomac River, as measured at the Hancock gage� are less than 600 cubic feet per second (cfs), the licensee shall provide a two-inch veil of water over the project dam���The licensee shall not operate any generating units at the Dam No. 5 Hydro Station Project when flows in the Potomac River, as measured at the Hancock gage, are less than 300 cfs.�","Legally mandated continuous minimum veil flow of at least 1 inch over the dam at all times (Article 406, WQC).From June 15 to September 15, a 2-inch veil is required if river flow at Hancock gage is <600 cfs, to buffer the 1-inch veil and aid recreational users.No power generation allowed when flow at Hancock is <300 cfs.Run-of-river operation is required at all times (Article 402).Veil flows are physical, not cfs, but 1�2 inch veil assures continuous minimum spillage over the dam for aquatic and aesthetic purposes. If veil cannot be maintained, project must shut down until sufficient water returns.Any temporary flow reduction allowed only for emergencies or with agency agreement and prompt FERC notification. No routine zero-flow periods are allowed. All requirements are monitored and reported."
P1432_License_19900611.pdf,Dry Spruce Bay Project,Not mentioned,"No minimum flow requirement or mandated release is mentioned anywhere in the license document or environmental assessment. Streamflow statistics are reported (low flow: 0.35 cfs, high flow: 7.25 cfs, avg: 2.01 cfs), but these are observed values only.","The license and environmental assessment thoroughly describe the project, its operation, and environmental impacts, but do not mandate any minimum instream flow requirement or specific flow release for downstream habitat or river protection. The project uses all available flow for hydropower and fish processing and operates seasonally."
P11659_License_20041029.pdf,Falls Creek Project,"5�7 cfs required (or natural inflow, if less; to bypassed reach)",�The project would be operated in a run-of-river mode... The bypassed reach would be subject to a minimum flow requirement.� � �Gustavus recommended a minimum flow of 5�7 cfs... final flows would be determined after five years of data are available��,"The license mandates a minimum flow of 5�7 cfs (or natural inflow, if less) to the Falls Creek bypassed reach, with the precise value determined based on operational data after five years. This is to protect aquatic habitat downstream."
P1960_License_20040415.pdf,Flambeau Hydroelectric Project,"750 cfs required (or inflow to Big Falls Project, whichever is less, during exceptions to normal operation)","�During modified operations Dairyland will maintain a minimum discharge of 750 cfs or inflow to the Big Falls Hydro Project, whichever is less.� (Appendix A, Condition D: Exceptions to Normal Operations, p. 29) �The Flambeau Reservoir surface elevation will be maintained between 1182.48 and 1183.48 feet MSL at all times, except as authorized in Paragraphs D and F below.�","The license requires maintaining Flambeau Reservoir within a 1-foot elevation band during normal operations, matching discharge to inflow, but mandates a minimum flow of 750 cfs (or inflow to Big Falls, if less) during exceptions/emergencies."
P14066_License_20130129.pdf,Gartina Falls Hydroelectric Project,"10 cfs required (year-round, base of Gartina Falls)",�Article 402. Minimum Flow. The licensee shall provide a minimum flow of 10 cubic feet per second to the pool at the base of Gartina Falls at all times when the project is operating to maintain aquatic habitat.� (See also project description and summary of license requirements),The license mandates a continuous minimum flow of 10 cfs at the base of Gartina Falls at all times to protect aquatic habitat. The minimum flow can be temporarily modified in emergencies or with agency agreement.
Grand Coulee WCM.pdf,Grand Coulee Dam,"No explicit minimum flow for Grand Coulee itself. Releases may be managed to help maintain a 36,000 cfs minimum flow at Priest Rapids Dam downstream during refill, but no mandated minimum outflow from Grand Coulee is specified in this manual.","""If the elevation at the project is below the computed variable refill curve, the outflow will be reduced to an average daily flow sufficient to maintain the 36,000 cfs minimum discharge below Priest Rapids Dam (Federal Energy Regulatory Commission license requirement for Priest Rapids Dam project) or the minimum outflow contained in the appropriate detailed operating plan--unless higher flows are required to serve firm loads.""","There is no Grand Coulee-specific mandated minimum flow in this document. However, during refill, Grand Coulee operations may be adjusted to maintain a 36,000 cfs minimum at Priest Rapids Dam (per the FERC license for Priest Rapids, not for Grand Coulee itself). If another operating plan applies, its minimums are used. These are system coordination requirements, not site-specific ecological, fish, or navigation minimums for Grand Coulee. No zero-flow periods are mentioned."
P3017_License_19800717.pdf,Jetty Lake Project,Not mentioned,"�...Staff has estimated the flows occurring in the Jetty Lake outlet creek and the flows that would be diverted by the project, and has determined that the project would divert only 5 to 10 percent of the average flow of the creek... On the basis of this analysis it is concluded that a license condition requiring minimum flows from the Jetty Lake diversion dam is not necessary.� (Order Issuing Short Form License, p. 1)",No mandated minimum flow requirement or minimum instream/operational release is specified in the license. The project was determined to have minimal impact and did not require a specific mandated minimum flow.
P420_License_20000829.pdf,Ketchikan Lakes Hydroelectric Project,47 cfs required (35 cfs allowed during shutdown/emergency),"Article 405: ""Within 60 days of installation of the monitoring equipment required by Article 409, the licensee shall release from the Ketchikan Lakes powerhouse into the project tailrace a minimum flow of 47 cfs, except in the event of a plant power trip or for the purpose of protecting the water supply purposes of the project, when the flow may be reduced to 35 cfs. These minimum flows are for the protection of the fish resources in lower Ketchikan Creek...""","The project is required to release 47 cfs into Ketchikan Creek at all times for fish habitat protection. In case of power outages or emergencies, the required release can be reduced to 35 cfs. This is a mandated instream flow for aquatic resources and is specified as a license article."
P12379_License_20031224.pdf,Lake Dorothy Hydroelectric Project,No minimum flow required,"""LDHI proposes to pay Alaska Fish & Game $70,000 to fund aquatic habitat restoration and/or sport fishing access projects in the Juneau area. Alaska Fish & Game and LDHI agreed that this funding would provide full and complete mitigation for project-related impacts on aquatic resources, and Alaska Fish & Game states that no reservoir operational restrictions or instream flow requirements would be recommended."" (Settlement Agreement, p. 7)","No minimum flow or reservoir operational restriction is mandated in the license. The license instead requires off-site mitigation funding for habitat restoration, as mutually agreed upon by regulatory agencies and the licensee."
REDACTED 1987 LGR WCM rev2010_APPLIED.pdf,Lower Granite Lock and Dam,"0 cfs (Dec�Feb, limited); 11,500 cfs (Mar�Nov, typical minimum)","�From December to February, �zero� minimum project discharge is permitted on a limited basis... From March to November, the minimum project discharge will be 11,500 cfs for power generation and conservation purposes... Special conditions may develop which make zero minimum project discharge desirable for a limited time during the March to November period. The RCC will be responsible for coordinating such zero flow requests with the fishery agencies for approval.�","Zero riverflow is allowed at night and weekends in winter (Dec�Feb) by agreement, when fish are not migrating; otherwise, 11,500 cfs is the stated minimum, with special exceptions possible if coordinated with agencies."
P349_License_20151217.pdf,Martin Dam Hydroelectric Project,"No mandated minimum flow for Martin Dam itself.Releases help meet downstream Thurlow Dam�s 1,200 cfs minimum, but Martin Dam has no site-specific minimum release requirement in this license.","�The license for the Martin Dam Project does not have a minimum flow release requirement. However, releases from the project help meet the minimum flow requirement of the downstream Thurlow Development of Project No. 2407. Article 401 of the 1994 license for the Yates and Thurlow Project No. 2407 requires the licensee to provide a continuous 1,200-cfs minimum flow release from the Thurlow Dam to protect aquatic resources in the downstream riverine reach. Inflows to Project No. 2407 consist of flows from tributaries to the Tallapoosa River and releases from Martin Dam.�","No explicit minimum flow is mandated for Martin Dam. However, project operations (releases) are coordinated so that downstream Thurlow Dam (Project No. 2407) can provide a continuous 1,200 cfs minimum flow, per its license. Martin Dam�s operations also include reservoir elevation guide curves, flood control, and drought management protocols, but no direct, site-specific instream flow requirement is set for Martin Dam in this license. No routine zero-flow is permitted; flows are dictated by peaking operation, downstream requirements, flood control, and drought plans. All flows are measured in cfs."
P1235_License_19890531.pdf,Municipal Hydroelectric Plant Project,"25 cfs required (or inflow, if less)","�Article 401. The licensee shall discharge from the Municipal Hydroelectric Project a continuous minimum flow of 25 cubic feet per second, or inflow to the project, whichever is less, in the Little River to protect the fisheries resources in the downstream reaches.�",The license requires a continuous minimum flow of 25 cfs (or inflow if less) from the project into the Little River at all times to protect aquatic habitat downstream. This value is explicitly mandated in Article 401 and confirmed in the EA.
P7828_License_19951226.pdf,New Lahontan Power Plant Project,Not mentioned,"""Operation of the proposed powerhouse will not alter the magnitude or timing of existing releases from the Lahontan Dam project operation...""""...would not change the operational procedures and flow requirements for irrigation..."" No minimum instream flow requirement is specified for downstream releases in the license.","The FERC license does not specify or mandate any new minimum flow requirement for the project. The dam's primary operation and release schedule remain governed by existing Bureau of Reclamation rules for irrigation, not hydropower, and no specific minimum flow release is required for fishery or other downstream resources under this hydropower license."
P11588_License_20021015.pdf,Otter Creek Hydroelectric Project,"5 cfs required (or natural streamflow, whichever is less)","�Licensee shall maintain a minimum instream flow of 5 cfs or natural streamflow (whichever is less) at the mouth of Kasidaya Creek, to facilitate the passage of anadromous Dolly Varden char to habitat in the lower reach of the creek.� (Section 18 Fishway Prescriptions, Article 401/Condition 10 Appendix A)","The license requires a continuous minimum instream flow of 5 cfs or natural streamflow if less at the mouth of Kasidaya Creek for fish passage and habitat protection, as prescribed in both Article 401 and Appendix A conditions."
P10853_License_19911205.pdf,Otter Tail River Project,"30 cfs (day after Labor Day�March 31), 110 cfs (April�May), 60 cfs (June�Labor Day); all to Hoot Lake Diversion Dam bypassed reach, or inflow if less","�Article 402. The Licensee shall release from the Hoot Lake Diversion dam into the Otter Tail River, a minimum flow according to the following schedule: 30 cubic feet per second (cfs) from the day after Labor Day through March 31, 110 cfs from April 1 through May 31, and 60 cfs from June 1 through Labor Day, or inflow to the project reservoir (less withdrawals required for municipal water supply demands), whichever is less, for the protection and enhancement of aquatic resources and for the maintenance of recreational boating resources in the bypassed reach of the Otter Tail River.�","The license requires specific seasonal minimum flows to the 8.2-mile bypassed reach below the Hoot Lake Diversion dam: 30 cfs (fall/winter), 110 cfs (spring), and 60 cfs (summer), or inflow if less, for aquatic and recreation protection. These are mandated in Article 402."
P925_License_20080430.pdf,"Ottumwa Project (City of Ottumwa, Iowa)","Run-of-river operation with no numeric minimum flow mandated in new license; project must maintain outflow equal to inflow at all times (reservoir elevation 638.5?�?0.5 ft msl).When inflow drops below minimum hydraulic capacity (600 cfs), all inflow is passed downstream via Taintor gates.Prior license required a 300 cfs minimum, but this is not continued in the new license.","�Article 402. Project Operation. In operating the project in a run-of-river mode and maintaining a reservoir elevation of 638.5?�?0.5 foot msl, in accordance with water quality certification condition 3, the licensee shall at all times act to minimize the fluctuation of the reservoir surface elevation by maintaining a discharge from the project so that, at any point in time, flows, as measured immediately downstream from the project tailrace, approximate the sum of inflows to the project reservoir� Run-of-river operation may be temporarily modified if required by operating emergencies beyond the control of the licensee, and for short periods upon mutual agreement between the licensee and the Iowa Department of Natural Resources� The minimum hydraulic capacity of the project turbines is 600 cfs. When the inflow to the project falls below 600 cfs, the wicket gates close, the turbines will be shut down according to the OCM Plan, and all inflow to the project is passed downstream through the dam�s Taintor gates (outflow from the dam will equal inflow).�","No mandated numeric minimum flow required in the new license; instead, strict run-of-river operation is mandated, meaning outflow always equals inflow and water level must be kept at 638.5?�?0.5 ft msl.If inflow drops below the turbines� minimum hydraulic capacity (600 cfs), turbines shut down and all water is released downstream via Taintor gates.Prior license required 300 cfs minimum, but this is not carried forward.Short-term exceptions allowed only for emergencies or with agency agreement and prompt FERC notification.No zero-flow periods are allowed. All compliance is monitored and reported. All flows measured in cfs; elevation in feet above mean sea level (msl)."
P10198_License_19880427.pdf,Pelican Hydro Project,"3 cfs required (or inflow, if less)","�Article 105. During the construction and operation of the facilities authorized by this license, the licensee shall maintain each year, immediately below the point of diversion in Pelican Creek, a continuous, minimum flow of three cubic feet per second (cfs) or the natural flow, whichever is less, as measured immediately below the point of proposed diversion.�","The license mandates a continuous minimum flow of 3 cfs (or natural inflow, if less) in Pelican Creek below the point of diversion during both construction and operation, to protect fish and wildlife resources."
P1494_License_19920424.pdf,Pensacola Project (Grand Lake O� the Cherokees),Not mentioned (no required minimum flow),"�There is no required release flow; however, the downstream gage records a minimum flow of approximately 25 cfs, probably derived from a combination of project leakage and inflow from a small tributary upstream from the gage.�","The license and EA focus on management of reservoir elevations for environmental, recreational, and flood control purposes. Any minimum flows recorded downstream are not regulated or mandated, but are incidental/operational leakage and local inflow."
P11243_License_19971224.pdf,Power Creek Hydroelectric Project,"5 cfs required (or inflow, if less)","�The licensee shall release from the Power Creek diversion dam into Power Creek a continuous minimum flow of 5 cfs, as measured at the diversion dam, or inflow to the project, whichever is less, for the protection of fish resources in the bypassed reach of Power Creek.� (Article 404)","The license mandates a continuous minimum release of 5 cfs (or inflow to the project, if less) from the Power Creek diversion dam into the bypassed reach to protect fish resources. This is specified in Article 404 of the FERC license."
P11480_License_20001024.pdf,Reynolds Creek Hydroelectric Project,"12 cfs required (or inflow, if less) for anadromous reach; 10 cfs required (or inflow, if less) for bypassed reach","�Article 416. The licensee shall release from the project diversion dam to the bypassed reach of Reynolds Creek, a continuous minimum flow of 10 cfs, or inflow if less, and release to the anadromous reach downstream from Rich�s Pond a continuous minimum flow of 12 cfs, or inflow if less, for the protection of fish resources.�","The license mandates a continuous minimum flow of 10 cfs to the bypassed reach and 12 cfs to the anadromous reach of Reynolds Creek, or natural inflow if less, to protect fish resources. This is specified in Article 416."
P2373_License_19930930.pdf,Rockton Project,"300 cfs minimum flow into the bypass reach below the spillway, or inflow to the project reservoir, whichever is less.","�Article 402. The licensee shall maintain a minimum flow of 300 cfs into the bypass reach of Rock River below the spillway, or inflow to the project reservoir, whichever is less, as measured immediately downstream of the dam in the bypass reach, for the protection and enhancement of fish and wildlife resources.�","Legally mandated minimum flow requirement for the protection of fish and wildlife. If inflow to the reservoir is less than 300 cfs, the inflow becomes the minimum required release. Flow may be temporarily reduced only for emergencies or short periods by mutual agreement with the USFWS and Illinois Department of Conservation, with notification to FERC. The prior higher flow recommendations (e.g., 2,020 cfs in spring) were not adopted. All measurements in cfs. Run-of-river operation is also required per Article 401. No zero-flow periods allowed under normal operations. Equipment and plans for compliance monitoring are required by Article 403."
P2169_License_20050125.pdf,Santeetlah Development,"Monthly minimum base flows: Tier A (Jan: 50 cfs, Feb: 100 cfs, Mar: 100 cfs, Apr: 160 cfs, May: 100 cfs, Jun: 90 cfs, Jul: 60 cfs, Aug: 50 cfs, Sep: 50 cfs, Oct: 50 cfs, Nov: 50 cfs, Dec: 60 cfs). Tier B (Jan: 50 cfs, Feb: 90 cfs, Mar: 90 cfs, Apr: 90 cfs, May: 90 cfs, Jun: 80 cfs, Jul: 50 cfs, Aug: 40 cfs, Sep: 40 cfs, Oct: 40 cfs, Nov: 40 cfs, Dec: 50 cfs).","""The Licensee shall release aquatic base flows from Santeetlah Dam in the magnitude and for the duration described in Table OR-2.1� If the ADI [average daily inflow] is greater than the historic 25th percentile average flow for that month, the Licensee shall release flows according to Tier A, and if the ADI is less than or equal� according to Tier B.""","Monthly minimum flows are required in the Cheoah River below Santeetlah Dam; the value depends on observed inflow, with higher (Tier A) or lower (Tier B) values set in cfs for each month."
P1051_License_20070817.pdf,Skagway-Dewey Lakes Hydroelectric Project,0.464 cfs required (municipal water right),"""�the City of Skagway needs to exercise their water right of up to 300,000 gallons (0.464 cfs) per day from Dewey reservoir."" (Article 403, Project Operations Plan)","There is no mandated minimum environmental/instream flow. However, the license requires a municipal water right release of 0.464 cfs from Dewey reservoir to the City of Skagway, which is a legally mandated withdrawal."
P2742_License_19780621.pdf,Solomon Gulch Project,"3.5 cfs required (or inflow, if less)","�A minimum continuous flow of 3.5 cfs or a flow equal to the natural inflow to the project reservoir, whichever is less, would be maintained in the creek to protect fishery resources including salmon spawning areas�� (License, p. 3; Article 39)","The license mandates a continuous minimum flow of 3.5 cfs (or inflow to the reservoir, if less) be maintained in Solomon Gulch Creek to protect fishery and spawning habitat."
P12775_License_20110421.pdf,Spearfish Hydroelectric Project,"6 cfs (Oct 1�Apr 30); stepped down from 4 cfs to 1 cfs (May 1�Sept 30), per schedule","""This license requires the City to release minimum flows of between 1 and 6 cfs into the project�s bypassed reach, depending on the time of year and the average powerhouse outflows."" ""The City proposes to operate the project in a run-of-river mode and release a minimum flow of 6 cfs into the bypassed reach from October 1 through April 30 (the non-irrigation season) and to release stepped-down minimum flows of 4 cfs to 1 cfs from May 1 through September 30 (the irrigation season). ... When the average powerhouse outflow reaches a lower step-down level, the City will adjust the minimum flow release downward accordingly.""","The license mandates seasonal minimum flows to the bypassed reach: 6 cfs in the non-irrigation season (Oct 1�Apr 30) and stepped-down minimum flows (4 cfs down to 1 cfs) during the irrigation season (May 1�Sept 30), according to powerhouse outflows. The stepped-down schedule is determined weekly based on average flows and triggers, as described in the license."
