filename,Manual_Value_Observed,LLM_Value,Category
P2517_License_20040512.pdf,"Minimum continuous veil flow of at least 1 inch over the dam at all times.From June 15 to September 15, if mean Potomac River flow at the Hancock gage is <600 cfs, a 2-inch veil over the dam is required.No generation allowed if river flow <300 cfs.","The minimum flow requirement mentioned in the document is a ""minimum one-inch veil flow over the dam to provide a minimum flow to the tail waters"" as required by the West Virginia WQC. However, this is not a specific flow value.

A more specific condition is mentioned in Condition No. 1 of the West Virginia WQC, which requires that whenever river mean flows are less than 600 cfs, from June 15 to September 15, an artificial operating point 1 inch above normal unit low veil trip point automatic shut down would be established for veil height.

But the most relevant information is not explicitly stated as a minimum flow requirement. However, it can be inferred that the project should maintain a minimum flow of 600 cfs from June 15 to September 15 to avoid implementing the artificial operating point.

Therefore, the answer is: 
""600 cfs from June 15 to September 15, but no explicit continuous minimum flow is mentioned.""",To Review
P2566_License_20010620.pdf,Run-of-river operation: Outflow must approximate inflow at all times; impoundment elevation maintained at 684.15 ft ± 0.25 ft NGVD.Fishway flow: 30 cfs to fish ladder March 1-June 30 and Sept 1-Nov 30 each year.,"Not mentioned. 

The document does not mention any minimum flow requirements or releases for the Webber Hydroelectric Project. It discusses the project's operation, licensing, and environmental assessment, but does not specify any flow requirements.",To Review
P2724_License_20011221.pdf,"400 cfs (April 1-June 15), 250 cfs (June 16-March 31), or inflow if less","Not mentioned. 

Although there are mentions of flow rates (e.g., ""800 cfs flow"" and ""1,000 cfs flow"") in the context of sediment management plans and monitoring, these do not appear to be minimum flow requirements for the project. The text does not explicitly state a minimum instantaneous flow, minimum daily average flow, base flow requirement, environmental flow requirement, or required continuous release that applies to the project as a whole.",To Review
P2742_License_19780621.pdf,"3.5 cfs required (or inflow, if less)","3.5 cfs continuous, or a flow equal to the natural inflow to the project reservoir, whichever is less, to protect fishery resources including salmon spawning areas at the mouth of Solomon Gulch Creek.",To Review
P2743_License_19811005.pdf,"100 cfs (Jan-Apr), 65 cfs (May-Oct), 62 cfs (Nov 16-30), 62 cfs (Dec 1-31) required","Not mentioned, except that ""A minimum flow would be released from the reservoir into the Terror River as detailed in Article 43 to preserve and enhance downstream fish habitat."" The actual value is not specified in the text.",To Review
P2972_License_19801106.pdf,Not mentioned,Not mentioned.,To Review
P3015_License_19810805.pdf,Not mentioned,"Not mentioned. 

The document does not mention a minimum flow requirement or minimum release requirement for the project. It discusses the potential impacts of the project on water quality, fisheries, and other environmental factors, but it does not specify a minimum flow rate that must be maintained.",To Review
P3017_License_19800717.pdf,Not mentioned,"Not mentioned. 

Although there is a mention of maintaining a ""permanent instream flow of water"" in the Jetty Lake outlet creek to ensure the viability of any salmon population, no specific flow value or units are provided. The document states that a license condition requiring minimum flows from the Jetty Lake diversion dam is not necessary, based on the analysis that the project would divert only 5 to 10 percent of the average flow of the creek.",To Review
P308_License_20170105.pdf,"4 cfs (Nov-Apr); 5 cfs (May-Oct), measured at BPL gage or inflow (whichever is less)","Not mentioned. 

The document does not mention any minimum flow requirements, including minimum instantaneous flow, minimum daily average flow, base flow requirements, environmental flow requirements, required continuous releases, or license article requirements specifying flows.",To Review
P420_License_20000829.pdf,47 cfs required (35 cfs allowed during shutdown/emergency),The minimum flow requirement for this project is 35 cubic feet per second (cfs).,To Review
P620_License_20060208.pdf,Not mentioned,"Not mentioned. 

The document does not mention a minimum flow requirement or minimum release requirement for the project. It discusses various aspects of the project, including its description, operation, and environmental considerations, but does not specify a minimum flow rate that must be maintained.",To Review
P7396_License_19860416.pdf,No minimum flow mandated during operation,Not mentioned.,To Review
P7828_License_19951226.pdf,Not mentioned,"Not mentioned. 

The document does not explicitly mention a minimum flow requirement or minimum release requirement for the project. It discusses environmental considerations, such as protecting water quality and coldwater fisheries, but does not specify a particular flow value or condition.",To Review
P8221_License_19851231.pdf,Not mentioned,"Not mentioned. 

Although the document mentions ""provision for minimum instream flow releases"" and an ""instream flow diversion pipe"" to release flows to the Bradley River at the lowest operational levels of Bradley Lake, it does not provide a specific value for the minimum flow requirement.",To Review
P925_License_20080430.pdf,"Run-of-river operation with no numeric minimum flow mandated in new license; project must maintain outflow equal to inflow at all times (reservoir elevation 638.5?±?0.5 ft msl).When inflow drops below minimum hydraulic capacity (600 cfs), all inflow is passed downstream via Taintor gates.Prior license required a 300 cfs minimum, but this is not continued in the new license.",300 cfs minimum downstream flow.,To Review
